msa	msacode	year	quarter	index_msa
"Albany-Schenectady-Troy, NY"	10580	1987	1	82.92
"Albany-Schenectady-Troy, NY"	10580	1987	2	84.71
"Albany-Schenectady-Troy, NY"	10580	1987	3	88.28
"Albany-Schenectady-Troy, NY"	10580	1987	4	91.25
"Albany-Schenectady-Troy, NY"	10580	1988	1	93.63
"Albany-Schenectady-Troy, NY"	10580	1988	2	97.57
"Albany-Schenectady-Troy, NY"	10580	1988	3	99.35
"Albany-Schenectady-Troy, NY"	10580	1988	4	99.88
"Albany-Schenectady-Troy, NY"	10580	1989	1	100.54
"Albany-Schenectady-Troy, NY"	10580	1989	2	101.73
"Albany-Schenectady-Troy, NY"	10580	1989	3	104
"Albany-Schenectady-Troy, NY"	10580	1989	4	104.32
"Albany-Schenectady-Troy, NY"	10580	1990	1	104.41
"Albany-Schenectady-Troy, NY"	10580	1990	2	104.09
"Albany-Schenectady-Troy, NY"	10580	1990	3	104.03
"Albany-Schenectady-Troy, NY"	10580	1990	4	104.82
"Albany-Schenectady-Troy, NY"	10580	1991	1	104.85
"Albany-Schenectady-Troy, NY"	10580	1991	2	105.85
"Albany-Schenectady-Troy, NY"	10580	1991	3	105.69
"Albany-Schenectady-Troy, NY"	10580	1991	4	106.19
"Albany-Schenectady-Troy, NY"	10580	1992	1	108.06
"Albany-Schenectady-Troy, NY"	10580	1992	2	106.57
"Albany-Schenectady-Troy, NY"	10580	1992	3	107.73
"Albany-Schenectady-Troy, NY"	10580	1992	4	108.08
"Albany-Schenectady-Troy, NY"	10580	1993	1	107.2
"Albany-Schenectady-Troy, NY"	10580	1993	2	107.74
"Albany-Schenectady-Troy, NY"	10580	1993	3	107.87
"Albany-Schenectady-Troy, NY"	10580	1993	4	107.78
"Albany-Schenectady-Troy, NY"	10580	1994	1	107.51
"Albany-Schenectady-Troy, NY"	10580	1994	2	104.74
"Albany-Schenectady-Troy, NY"	10580	1994	3	103.58
"Albany-Schenectady-Troy, NY"	10580	1994	4	102.9
"Albany-Schenectady-Troy, NY"	10580	1995	1	100
"Albany-Schenectady-Troy, NY"	10580	1995	2	100.96
"Albany-Schenectady-Troy, NY"	10580	1995	3	102.5
"Albany-Schenectady-Troy, NY"	10580	1995	4	102.31
"Albany-Schenectady-Troy, NY"	10580	1996	1	103.5
"Albany-Schenectady-Troy, NY"	10580	1996	2	100.39
"Albany-Schenectady-Troy, NY"	10580	1996	3	100.84
"Albany-Schenectady-Troy, NY"	10580	1996	4	99.57
"Albany-Schenectady-Troy, NY"	10580	1997	1	100.49
"Albany-Schenectady-Troy, NY"	10580	1997	2	100.45
"Albany-Schenectady-Troy, NY"	10580	1997	3	100.17
"Albany-Schenectady-Troy, NY"	10580	1997	4	101.34
"Albany-Schenectady-Troy, NY"	10580	1998	1	103.32
"Albany-Schenectady-Troy, NY"	10580	1998	2	102.39
"Albany-Schenectady-Troy, NY"	10580	1998	3	102.44
"Albany-Schenectady-Troy, NY"	10580	1998	4	103.63
"Albany-Schenectady-Troy, NY"	10580	1999	1	104.24
