STATE	NDMTCODE	NAME	COUNTY	STATEABL	DUSTBOWA	PCPUBWOR	PCAAA	PCRELIEF	PCNDLOAN	PCNDINS	POP30T
32	1770	SHAWNEE	1770	KS	0	6.462267214	1.668014085	13.98867762	6.971208138	6.0382277	85.2
32	1790	SHERIDAN	1790	KS	0	5.707215413	60.87972839	10.32099481	28.46359722	0.037197748	6.038
32	1810	SHERMAN	1810	KS	0	7.209346847	44.99681081	11.38650901	21.71899099	1.431162162	7.4
32	1830	SMITH	1830	KS	0	0.832189	20.9158361	10.19748985	14.32979451	0.817438169	13.545
32	1850	STAFFORD	1850	KS	0	5.892766093	52.03214149	4.880449331	11.16364563	1.327418738	10.46
32	1870	STANTON	1870	KS	1	4.828841388	175.8758364	21.6788259	30.42032218	0.203252788	2.152
32	1890	STEVENS	1890	KS	1	4.06254923	72.46487648	14.80590763	26.79931257	0.092975295	4.655
32	1910	SUMNER	1910	KS	0	3.281497468	15.10529696	8.936740331	6.517720994	0.92433011	28.96
32	1930	THOMAS	1930	KS	0	4.743773293	79.21014453	10.00284065	30.08586492	0.84505045	7.334
32	1950	TREGO	1950	KS	0	8.100747038	60.36423493	8.518341061	20.86036064	0.279072643	6.47
32	1970	WABAUNSEE	1970	KS	0	2.399107418	10.79687904	11.95977224	11.98357649	0.143213296	10.83
32	1990	WALLACE	1990	KS	0	1.312283137	33.2666898	12.38347213	23.23497571	0.261276891	2.882
32	2010	WASHINGTON	2010	KS	0	4.363283076	17.11896914	7.251383045	13.85011688	0.459805984	17.112
32	2030	WICHITA	2030	KS	1	4.618198268	67.32043428	11.31226574	28.11782345	0.354633579	2.579
