wgname,month,ttlmsgs,intlmsgs,msgcom,msgnet,msgorg,msgedu,msggov,msgcctld,msgoth,usrcom,usrnet,usrorg,usredu,usrgov,usrcctld,usroth,aflcom,aflnet,aflorg,afledu,aflgov,aflcctld,afloth
"iptel","Oct2000","27","3","22","1","1","2","","1","","10","1","1","1","","1","","10","1","1","1","","1",""
"iptel","Nov2000","104","14","80","4","","19","","1","","30","2","","3","","1","","22","2","","2","","1",""
"iptel","Dec2000","24","1","20","","","4","","","","11","","","3","","","","10","","","2","","",""
"iptel","Jan2001","11","1","7","3","","1","","","","4","1","","1","","","","4","1","","1","","",""
"iptel","Feb2001","21","1","19","","","1","","1","","11","","","1","","1","","10","","","1","","1",""
"iptel","Mar2001","56","4","40","5","","9","","2","","18","3","","2","","2","","18","3","","1","","2",""
"iptel","Apr2001","30","","23","4","","3","","","","8","2","","2","","","","8","2","","2","","",""
"iptel","May2001","21","3","12","1","","8","","","","9","1","","7","","","","9","1","","5","","",""
"iptel","Jun2001","18","5","14","","","1","","3","","11","","","1","","2","","9","","","1","","2",""
"iptel","Jul2001","13","","13","","","","","","","7","","","","","","","7","","","","","",""
"iptel","Aug2001","69","","60","3","2","3","","","1","23","1","2","1","","","1","17","1","2","1","","","1"
"iptel","Sep2001","12","1","11","","","","","1","","8","","","","","1","","7","","","","","1",""
"iptel","Oct2001","66","5","53","1","","12","","","","23","1","","2","","","","18","1","","1","","",""
"iptel","Nov2001","31","3","28","","","3","","","","13","","","2","","","","11","","","1","","",""
"iptel","Dec2001","59","8","47","","","11","","1","","18","","","4","","1","","12","","","2","","1",""
